이름   작성시간    내용    공감    댓글
익명,10/24 12:25,인프제 중에 진짜 친구 다 몇명이야? 난 한명도 없는 것같다...그냥 웃어주면서 재미있게 시간보내고 오는데 그 사람들의 이중잣대나 가식이나 이기적인 그런거에 갑자기 정털려 최근들어 혼자만 있는 시간이 많아져서 그런가...집에만 있어서 더 그런것같기도하고...,0,1
익명,10/23 17:51,왜 사람들은 mbti를 믿지 않을까...그래도 맞는 사람들한테는 맞는데 ㅠㅠㅠㅠ 그 와중에 여기 목록에서 밀려났어 이게 뭐양 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,0,0
익명,09/27 19:59,각자 유형별 수능끝나고 한 일들 이야기해보자.,0,6
익명,09/19 03:08,istj 직무 어떤거 준비해 ?!?!,0,2
익명,09/18 00:23,INFJ 인프제!,0,4
익명,09/17 23:36,entp-a 였던걸로 기억하는데..암튼 entp,0,0
익명,09/17 22:56,이거 넘 기엽지아나?ㅠㅠ 나 엔프젠데 내 주변에 인프피 개많아서 그런가 넘 공감돼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,3
익명,09/15 05:59,entp,0,8
익명,09/09 21:41,야생의 개자식...,0,2
익명,09/03 12:55,isfp 어떻게 생각하나요?,0,1
익명,09/02 18:02,난 enfp야!!!! 근데 아무리 생각해도 나는 e아니고 i인 것 같은데 enfp만 4번 나왔어 🥺,0,6
익명,08/27 14:37,ENTJ,1,4
ENFJ대장,08/26 15:36,오랜만이네요...여기도 이제 슬슬....,0,1
익명,08/25 02:14,나는 istp 여자야! 궁금한거 있는 사람👀👀,0,2
익명,08/25 00:06,intp 좋은거에오?,0,7
익명,08/23 22:28,반가워 난 isfj남자야~,0,9
익명,08/23 21:23,사랑할때 유형이래요!!! 전 entj 인데남친이랑 헤어진지 얼마 안돼서 이거보고 펑펑 울었어요 ㅠㅠㅠㅠㅜ,0,2
익명,08/23 01:24,엔프피이~😎,0,1
익명,08/22 20:40,Entj 여자입니다 호,0,1
익명,08/22 01:31,entj남자분잇나유,0,6
익명,08/15 18:35,INTJ 있어? 살면서 실제 지인중에 INTJ 딱 한명 있었는데 나머지는 말도 잘 안통하고 맞춰주기도 너무 귀찮고 힘들다 ㅜ,0,8
인프피마법사,08/14 02:25,"난 infp야. infp는 디즈니 공주들중 잠자는 숲속의 공주 (오로라) 타입이래. 그런거 생각하면 난 정말 집에서 잠만 자고 있어, 근데 머릿속에는 항상 백마 탄 여왕님이 날 모셔오는 꿈을 꿔. 이게 infp의 이상형인가봐 ㅋㅋㅋ",0,5
익명,08/12 12:00,뭐야 나만 ESFP-t타입이야?,0,3
익명,08/07 04:15,intp인사람?,0,3
익명,08/06 03:59,entp 친구들 나와봐~!,1,1
익명,08/05 17:47,나는야 23살 entp동생은 19살 infj세상에 둘도 없는 친구언니가 재롱부리면 박수치면서 구경해주는 동생그걸 몰래 따라하다가 언니랑 같이 결국 재롱 부리는 동생궁합 너무 잘 맞는데 남자친구도 infj 였으면 좋겠당,1,3
익명,07/31 01:46,intp 퓨쳐핸섭,0,2
살곰러브,07/26 22:10,여자 ISFP없나요?,0,2
(알수없음),07/25 15:53,쿠튜브에서 MBTI 컨텐츠를 올렸는데 다른곳 MBTI 컨텐츠보다 재밌음한번봐바https://youtu.be/Oa48b5KXIAU,0,1
익명,07/23 03:15,ISTJENTJ번갈아 나오는 사람은 없나여?일단 나,0,0
익명,07/22 23:06,ESFJ인사람!!!!!!!!!!!!!!!!!!!!!!!!,1,0
익명,07/22 21:41,INFJ 손들어보십시오 ✋ 🤲 🤟 👋,2,2
익명,07/22 15:30,난 ESTP!,0,2
익명,07/22 15:12,인프피랑 잘맞는 유형은 뭔가요?? 다양한 사람들을 경험해보지 않아서 그런가 와!존나찰떡궁합이다! 이런 지인이 없네요...,0,5
익명,07/16 22:39,난 ENTP~!~!~!,0,2
익명,07/16 11:15,entj 없는 줄 알았는데 있긴 있구나... 반갑다... 나중에 조별활동 할 때 만났으면 좋겠다,0,3
익명,07/10 23:50,내가 Entp 엿는지 Fp 였는지 헷갈린다,0,3
연애의모순,07/10 18:51,초강력 ENTJ 입니다이 유형에 대해 궁금한 점 질문해주시면승심승히껏 적어드림미다,0,4
인프피마법사,07/07 10:15,뭐 mbti게시판? 거기 망해가고 있다고? 아 알았어 나중에 글 한번 쓸게 지금은 넘나 커찮~~~~~~,0,2
익명,07/06 16:54,처음 들어왔는데 j들만 챌린지 꾸준히 하고 있는 거 뭔가 웃기다... ㅋㅋㅋㅋㅋㅋㅋㅋㅋ p 어디갔어ㅜㅠ?,0,7
빨강만죽이는사람,07/03 15:04,점점 죽어가는구나! 완벽해!,0,1
익명,06/24 22:59,INTP 모여라,1,3
(알수없음),06/23 16:24,Entp뜸 좋은거임?,0,2
익명,06/22 01:22,아니 근데 진짜 진지하게 t랑 f랑 답변 차이나는 질문들 있나자... 근데 f들은 t들의 답변이 막 이해 안가고 그래...? 나 t고 f인 친구들이랑 저 답변 고르기 했다가 막 비난받고 그래서 외로웠어...ㅋㅋㅋㅋㅋ....,0,2
